Country Name,Year,Life Expectancy
Armenia,2003,72.8268292682927
Austria,2003,78.63170731707318
Azerbaijan,2003,67.036
Belgium,2003,78.12926829268292
Bulgaria,2003,72.0658536585366
Croatia,2003,74.6139024390244
Cyprus,2003,78.908
Denmark,2003,77.1439024390244
Estonia,2003,71.3170731707317
Finland,2003,78.36829268292684
France,2003,79.11463414634147
Germany,2003,78.38048780487806
Greece,2003,78.84146341463415
Hungary,2003,72.30000000000001
Iceland,2003,80.96341463414636
Ireland,2003,78.1390243902439
Isle of Man,2003,76.319
Italy,2003,79.98292682926831
Latvia,2003,71.2658536585366
Lithuania,2003,72.06097560975611
Luxembourg,2003,77.72682926829269
Malta,2003,78.54634146341465
Netherlands,2003,78.49268292682929
Norway,2003,79.39024390243902
Poland,2003,74.59756097560977
Portugal,2003,77.21951219512196
Romania,2003,71.30975609756098
Russian Federation,2003,65.02756097560976
Slovenia,2003,76.85853658536585
Spain,2003,79.61951219512197
Sweden,2003,80.09512195121953
Switzerland,2003,80.53658536585368
Turkiye,2003,72.906
United Kingdom,2003,78.44634146341464
Armenia,2004,73.02682926829269
Austria,2004,79.18048780487806
Azerbaijan,2004,67.488
Belgium,2004,78.8780487804878
Bulgaria,2004,72.56341463414634
Croatia,2004,75.52024390243902
Cyprus,2004,79.007
Denmark,2004,77.49268292682927
Estonia,2004,71.90975609756097
Finland,2004,78.71463414634148
France,2004,80.16341463414635
Germany,2004,78.68048780487807
Greece,2004,79.0390243902439
Hungary,2004,72.64878048780488
Iceland,2004,80.99756097560977
Ireland,2004,78.53902439024391
Isle of Man,2004,76.876
Italy,2004,80.78048780487806
Latvia,2004,72.02682926829269
Lithuania,2004,71.9609756097561
Luxembourg,2004,79.1219512195122
Malta,2004,79.25365853658539
Netherlands,2004,79.09512195121953
Norway,2004,79.84146341463416
Poland,2004,74.84634146341465
Portugal,2004,77.67073170731709
Romania,2004,71.5609756097561
Russian Federation,2004,65.4709756097561
Slovenia,2004,77.20731707317073
Spain,2004,79.87073170731709
Sweden,2004,80.49756097560977
Switzerland,2004,81.0878048780488
Turkiye,2004,73.223
United Kingdom,2004,78.74634146341464
Armenia,2005,73.07560975609758
Austria,2005,79.33170731707318
Azerbaijan,2005,67.71
Belgium,2005,78.98048780487807
Bulgaria,2005,72.5609756097561
Croatia,2005,75.24463414634147
Cyprus,2005,79.198
Denmark,2005,77.84390243902439
Estonia,2005,72.56829268292682
Finland,2005,78.8170731707317
France,2005,80.16341463414635
Germany,2005,78.93170731707318
Greece,2005,79.23902439024391
Hungary,2005,72.64878048780488
Iceland,2005,81.50243902439024
Ireland,2005,78.9439024390244
Isle of Man,2005,77.453
Italy,2005,80.78292682926829
Latvia,2005,71.35609756097561
Lithuania,2005,71.25365853658538
Luxembourg,2005,79.43170731707318
Malta,2005,79.30000000000001
Netherlands,2005,79.34634146341465
Norway,2005,80.04146341463415
Poland,2005,74.99512195121952
Portugal,2005,78.0707317073171
Romania,2005,71.91219512195123
Russian Federation,2005,65.52975609756099
Slovenia,2005,77.61219512195122
Spain,2005,80.17073170731709
Sweden,2005,80.54634146341465
Switzerland,2005,81.23658536585367
Turkiye,2005,73.51
United Kingdom,2005,79.04878048780489
Armenia,2006,72.82439024390246
Austria,2006,79.88048780487806
Azerbaijan,2006,68.489
Belgium,2006,79.38048780487804
Bulgaria,2006,72.61219512195122
Croatia,2006,75.8368292682927
Cyprus,2006,79.456
Denmark,2006,78.09512195121954
Estonia,2006,72.69146341463414
Finland,2006,79.21463414634147
France,2006,80.81219512195123
Germany,2006,79.1317073170732
Greece,2006,79.43902439024392
Hungary,2006,73.09756097560977
Iceland,2006,81.15853658536587
Ireland,2006,79.24146341463415
Isle of Man,2006,77.971
Italy,2006,81.28292682926829
Latvia,2006,70.8658536585366
Lithuania,2006,71.05609756097562
Luxembourg,2006,79.2878048780488
Malta,2006,79.43902439024392
Netherlands,2006,79.69756097560976
Norway,2006,80.34390243902439
Poland,2006,75.1439024390244
Portugal,2006,78.41951219512195
Romania,2006,72.16341463414635
Russian Federation,2006,66.72756097560976
Slovenia,2006,78.08658536585367
Spain,2006,80.8219512195122
Sweden,2006,80.7487804878049
Switzerland,2006,81.49024390243903
Turkiye,2006,73.804
United Kingdom,2006,79.2487804878049
Armenia,2007,72.87317073170732
Austria,2007,80.18048780487806
Azerbaijan,2007,68.659
Belgium,2007,79.7829268292683
Bulgaria,2007,72.66341463414635
Croatia,2007,75.70560975609757
Cyprus,2007,79.798
Denmark,2007,78.19512195121952
Estonia,2007,72.81463414634148
Finland,2007,79.26341463414636
France,2007,81.11219512195123
Germany,2007,79.53414634146343
Greece,2007,79.43902439024392
Hungary,2007,73.15121951219513
Iceland,2007,81.45365853658538
Ireland,2007,79.64146341463415
Isle of Man,2007,78.451
Italy,2007,81.43414634146342
Latvia,2007,71.01951219512196
Lithuania,2007,70.90000000000002
Luxembourg,2007,79.3829268292683
Malta,2007,79.79268292682927
Netherlands,2007,80.09756097560975
Norway,2007,80.39512195121952
Poland,2007,75.2439024390244
Portugal,2007,78.3219512195122
Romania,2007,72.56585365853658
Russian Federation,2007,67.58682926829269
Slovenia,2007,78.56097560975611
Spain,2007,80.87317073170732
Sweden,2007,80.90000000000002
Switzerland,2007,81.74146341463415
Turkiye,2007,74.129
United Kingdom,2007,79.44878048780488
Armenia,2008,73.07317073170734
Austria,2008,80.43170731707318
Azerbaijan,2008,69.355
Belgium,2008,79.68048780487806
Bulgaria,2008,72.96341463414635
Croatia,2008,75.91219512195123
Cyprus,2008,79.906
Denmark,2008,78.44634146341464
Estonia,2008,73.77073170731708
Finland,2008,79.56829268292684
France,2008,81.21463414634148
Germany,2008,79.73658536585367
Greece,2008,79.93902439024392
Hungary,2008,73.70243902439026
Iceland,2008,81.60975609756099
Ireland,2008,80.09512195121953
Isle of Man,2008,78.899
Italy,2008,81.48536585365855
Latvia,2008,72.41951219512197
Lithuania,2008,71.81219512195122
Luxembourg,2008,80.53902439024391
Malta,2008,79.63658536585366
Netherlands,2008,80.25121951219512
Norway,2008,80.59268292682928
Poland,2008,75.54390243902441
Portugal,2008,78.52439024390246
Romania,2008,72.56585365853658
Russian Federation,2008,67.94926829268293
Slovenia,2008,78.7658536585366
Spain,2008,81.17560975609757
Sweden,2008,81.10000000000001
Switzerland,2008,81.99268292682927
Turkiye,2008,74.38
United Kingdom,2008,79.60000000000001
Armenia,2009,73.07317073170734
Austria,2009,80.33170731707318
Azerbaijan,2009,69.874
Belgium,2009,80.03414634146341
Bulgaria,2009,73.41219512195123
Croatia,2009,76.16829268292685
Cyprus,2009,80.375
Denmark,2009,78.59756097560977
Estonia,2009,74.82439024390244
Finland,2009,79.71951219512196
France,2009,81.41463414634147
Germany,2009,79.83658536585368
Greece,2009,80.18780487804878
Hungary,2009,73.90487804878049
Iceland,2009,81.75121951219514
Ireland,2009,80.19024390243902
Isle of Man,2009,79.303
Italy,2009,81.63658536585366
Latvia,2009,73.08048780487806
Lithuania,2009,72.91463414634147
Luxembourg,2009,80.63658536585366
Malta,2009,80.24146341463415
Netherlands,2009,80.54878048780489
Norway,2009,80.79512195121951
Poland,2009,75.69512195121952
Portugal,2009,78.72682926829269
Romania,2009,73.30975609756098
Russian Federation,2009,68.68463414634147
Slovenia,2009,78.97073170731707
Spain,2009,81.47560975609755
Sweden,2009,81.35121951219513
Switzerland,2009,82.0439024390244
Turkiye,2009,74.679
United Kingdom,2009,80.05121951219512
Armenia,2010,73.17317073170732
Austria,2010,80.58048780487806
Azerbaijan,2010,70.309
Belgium,2010,80.1829268292683
Bulgaria,2010,73.51219512195122
Croatia,2010,76.47560975609755
Cyprus,2010,80.632
Denmark,2010,79.10000000000001
Estonia,2010,75.42926829268293
Finland,2010,79.87073170731709
France,2010,81.66341463414635
Germany,2010,79.98780487804879
Greece,2010,80.3878048780488
Hungary,2010,74.20731707317074
Iceland,2010,81.89756097560975
Ireland,2010,80.74390243902438
Isle of Man,2010,79.613
Italy,2010,82.03658536585367
Latvia,2010,73.4829268292683
Lithuania,2010,73.26829268292683
Luxembourg,2010,80.63170731707318
Malta,2010,81.39756097560976
Netherlands,2010,80.70243902439024
Norway,2010,80.99756097560977
Poland,2010,76.24634146341464
Portugal,2010,79.02682926829269
Romania,2010,73.45853658536586
Russian Federation,2010,68.84121951219514
Slovenia,2010,79.4219512195122
Spain,2010,81.6268292682927
Sweden,2010,81.45121951219514
Switzerland,2010,82.24634146341465
Turkiye,2010,74.964
United Kingdom,2010,80.40243902439025
Armenia,2011,73.8170731707317
Austria,2011,80.9829268292683
Azerbaijan,2011,70.565
Belgium,2011,80.58536585365854
Bulgaria,2011,74.16341463414635
Croatia,2011,76.77560975609757
Cyprus,2011,80.855
Denmark,2011,79.80000000000001
Estonia,2011,76.22926829268293
Finland,2011,80.47073170731709
France,2011,82.11463414634147
Germany,2011,80.43658536585367
Greece,2011,80.73170731707317
Hungary,2011,74.85853658536587
Iceland,2011,82.35853658536587
Ireland,2011,80.74634146341464
Isle of Man,2011,79.836
Italy,2011,82.1878048780488
Latvia,2011,73.57560975609756
Lithuania,2011,73.56341463414635
Luxembourg,2011,80.98780487804878
Malta,2011,80.74634146341464
Netherlands,2011,81.2048780487805
Norway,2011,81.2951219512195
Poland,2011,76.69512195121952
Portugal,2011,80.47073170731709
Romania,2011,74.40975609756099
Russian Federation,2011,69.6839024390244
Slovenia,2011,79.97073170731709
Spain,2011,82.47560975609757
Sweden,2011,81.80243902439025
Switzerland,2011,82.69512195121952
Turkiye,2011,74.823
United Kingdom,2011,80.95121951219512
Armenia,2012,74.11951219512196
Austria,2012,80.93658536585367
Azerbaijan,2012,71.08
Belgium,2012,80.38536585365854
Bulgaria,2012,74.31463414634149
Croatia,2012,77.16829268292683
Cyprus,2012,81.128
Denmark,2012,80.05121951219512
Estonia,2012,76.3268292682927
Finland,2012,80.6268292682927
France,2012,81.96829268292684
Germany,2012,80.53902439024391
Greece,2012,80.63414634146342
Hungary,2012,75.06341463414634
Iceland,2012,82.91707317073171
Ireland,2012,80.84634146341465
Isle of Man,2012,80.007
Italy,2012,82.23902439024391
Latvia,2012,73.77804878048781
Lithuania,2012,73.86341463414635
Luxembourg,2012,81.39268292682927
Malta,2012,80.74634146341464
Netherlands,2012,81.10487804878049
Norway,2012,81.45121951219514
Poland,2012,76.74634146341464
Portugal,2012,80.37317073170732
Romania,2012,74.41219512195123
Russian Federation,2012,70.07219512195124
Slovenia,2012,80.12439024390244
Spain,2012,82.4268292682927
Sweden,2012,81.7048780487805
Switzerland,2012,82.69756097560976
Turkiye,2012,75.552
United Kingdom,2012,80.90487804878049
Armenia,2013,74.62195121951221
Austria,2013,81.13658536585366
Azerbaijan,2013,71.485
Belgium,2013,80.58780487804879
Bulgaria,2013,74.8609756097561
Croatia,2013,77.57073170731708
Cyprus,2013,81.317
Denmark,2013,80.30000000000001
Estonia,2013,77.14146341463415
Finland,2013,80.97560975609757
France,2013,82.21951219512196
Germany,2013,80.49024390243903
Greece,2013,81.28536585365853
Hungary,2013,75.5658536585366
Iceland,2013,82.06097560975611
Ireland,2013,80.94878048780488
Isle of Man,2013,80.12
Italy,2013,82.69024390243902
Latvia,2013,73.98292682926831
Lithuania,2013,73.91463414634146
Luxembourg,2013,81.80000000000001
Malta,2013,81.74634146341464
Netherlands,2013,81.3048780487805
Norway,2013,81.75121951219514
Poland,2013,77.00000000000001
Portugal,2013,80.7219512195122
Romania,2013,75.06341463414634
Russian Federation,2013,70.57878048780488
Slovenia,2013,80.3219512195122
Spain,2013,83.07804878048782
Sweden,2013,81.9560975609756
Switzerland,2013,82.79756097560977
Turkiye,2013,76.171
United Kingdom,2013,81.0048780487805
Armenia,2014,74.87317073170733
Austria,2014,81.49024390243903
Azerbaijan,2014,71.93
Belgium,2014,81.28780487804877
Bulgaria,2014,74.46585365853659
Croatia,2014,77.72439024390245
Cyprus,2014,81.337
Denmark,2014,80.7
Estonia,2014,77.03414634146343
Finland,2014,81.18048780487807
France,2014,82.71951219512195
Germany,2014,81.09024390243904
Greece,2014,81.38536585365853
Hungary,2014,75.76341463414634
Iceland,2014,82.86097560975611
Ireland,2014,81.34878048780487
Isle of Man,2014,80.199
Italy,2014,83.09024390243904
Latvia,2014,74.12439024390244
Lithuania,2014,74.5170731707317
Luxembourg,2014,82.22926829268293
Malta,2014,82.04634146341463
Netherlands,2014,81.70731707317074
Norway,2014,82.10000000000001
Poland,2014,77.60243902439025
Portugal,2014,81.12195121951221
Romania,2014,74.90975609756099
Russian Federation,2014,70.74365853658537
Slovenia,2014,81.0780487804878
Spain,2014,83.22926829268293
Sweden,2014,82.25365853658538
Switzerland,2014,83.19756097560976
Turkiye,2014,76.452
United Kingdom,2014,81.3048780487805
Armenia,2015,74.87073170731709
Austria,2015,81.19024390243904
Azerbaijan,2015,72.349
Belgium,2015,80.99268292682929
Bulgaria,2015,74.61463414634147
Croatia,2015,77.27560975609758
Cyprus,2015,81.464
Denmark,2015,80.70243902439024
Estonia,2015,77.59024390243903
Finland,2015,81.48048780487807
France,2015,82.3219512195122
Germany,2015,80.64146341463415
Greece,2015,81.03658536585367
Hungary,2015,75.56829268292685
Iceland,2015,82.46829268292684
Ireland,2015,81.45365853658538
Isle of Man,2015,80.267
Italy,2015,82.5439024390244
Latvia,2015,74.48048780487805
Lithuania,2015,74.32195121951221
Luxembourg,2015,82.29268292682927
Malta,2015,81.89756097560975
Netherlands,2015,81.509756097561
Norway,2015,82.30487804878051
Poland,2015,77.45121951219512
Portugal,2015,81.12439024390245
Romania,2015,74.91219512195123
Russian Federation,2015,71.18341463414635
Slovenia,2015,80.77560975609757
Spain,2015,82.83170731707318
Sweden,2015,82.2048780487805
Switzerland,2015,82.89756097560976
Turkiye,2015,76.539
United Kingdom,2015,80.95609756097562
